LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,BIRTHDATE,SEX,CITY,POSITION,BARANGAY
ZULUETA,RIZALDY,ROLDAN,,,,BACO,Punong Barangay,Alag
ZULUETA,JEANETTE,MAGPILI,,,,BACO,Sangguniang Barangay Member,Alag
ESPANOLA,ALLAN,JUANITES,,,,BACO,Sangguniang Barangay Member,Alag
ALDAYA,DONALYN,ZULUETA,,,,BACO,Sangguniang Barangay Member,Alag
DALUMPINES,FREDDIE RIC,CALANOG,,,,BACO,Sangguniang Barangay Member,Alag
ZULUETA,ARNULFO CHAVIT,BANUELOS,,,,BACO,Sangguniang Barangay Member,Alag
NEBRES,LEONILO,VILLAR,,,,BACO,Sangguniang Barangay Member,Alag
BELIGAL,JOEL,LABITAN,,,,BACO,Sangguniang Barangay Member,Alag
TECSON,JORDANO,ALASAAS,JR.,,,BACO,SK Chairperson,Alag
DALUMPINES,MA. CHRISTINE JOY,BAGUE,,,,BACO,SK Member,Alag
CASTILLO,JANESSA,ANGELES,,,,BACO,SK Member,Alag
ALFORO,JOHN ALDWIN,ZULUETA,,,,BACO,SK Member,Alag
CALANOG,QUEEN MHERYL,ALBA,,,,BACO,SK Member,Alag
SOBERANO,MAELAN,DE CHAVEZ,,,,BACO,SK Member,Alag
ACEVEDA,JUSTINE,CUSI,,,,BACO,SK Member,Alag
BLANCO,DRYDEN,CREE,,,,BACO,Barangay Treasurer,Alag
GARBIN,MYRA,ALFORO,,,,BACO,Barangay Secretary,Alag
SALES,NORBERT,MAGBUHOS,,,,BACO,Barangay Tanod,Alag
EVORA,ARSENIO,ACEVEDA,,,,BACO,Barangay Tanod,Alag
LAMIGO,RONALD,SOLOMON,,,,BACO,Barangay Tanod,Alag
FERNANDEZ,SIMPLICIO,EVORA,,,,BACO,Barangay Tanod,Alag
VALENTON,SONNY BOY,HERNANDEZ,,,,BACO,Barangay Tanod,Alag
ACEVEDA,RICHARD,ZULUETA,,,,BACO,Barangay Tanod,Alag
BLANCO,MICHAEL,MACALMA,,,,BACO,Barangay Tanod,Alag
COZ,CONRADO,ATIENZA,,,,BACO,Barangay Tanod,Alag
DALIDA,OLINER,DALUMPINES,,,,BACO,Barangay Tanod,Alag
LABITAN,ROMMEL,MACALMA,,,,BACO,Barangay Tanod,Alag
CONSULTA,ALTHEA MARIE,SILVESTRE,,,,BACO,Barangay Health Worker,Alag
BATION,ROWENA,DE JESUS,,,,BACO,Barangay Health Worker,Alag
ZULUETA,MARIA JADE BERNADETTE,MAGPILI,,,,BACO,Barangay Health Worker,Alag
ACUNA,LOVELY ANN,ABUTAN,,,,BACO,Barangay Health Worker,Alag
CABISAREZ,MARITES,LABITAN,,,,BACO,Barangay Health Worker,Alag
CAJAYON,LORENZO,RAYOS,JR.,,,BACO,Punong Barangay,Bangkatan
DELA PENA,VICTOR,ADAO,,,,BACO,Sangguniang Barangay Member,Bangkatan
CARAY,MARIAFE,RIVERA,,,,BACO,Sangguniang Barangay Member,Bangkatan
SALAVARIA,JANETTE,CAJAYON,,,,BACO,Sangguniang Barangay Member,Bangkatan
DIMACULANGAN,GINALYN,EVANGELIO,,,,BACO,Sangguniang Barangay Member,Bangkatan
CASAPAO,RECHELLE,SALAVARIA,,,,BACO,Sangguniang Barangay Member,Bangkatan
MANGARIN,AILEEN,RANON,,,,BACO,Sangguniang Barangay Member,Bangkatan
,,,,,,BACO,Sangguniang Barangay Member,Bangkatan
GONZALES,JULIE ANN,PADRIQUILA,,,,BACO,SK Chairperson,Bangkatan
